Unnamed: 0,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
24238194,2015-05-07 19:52:06.0000003,7.5,2015-05-07 19:52:06 UTC,-73.99981689453125,40.73835372924805,-73.99951171875,40.72321701049805,1
27835199,2009-07-17 20:04:56.0000002,7.7,2009-07-17 20:04:56 UTC,-73.994355,40.728225,-73.99471,40.750325,1
44984355,2009-08-24 21:45:00.00000061,12.9,2009-08-24 21:45:00 UTC,-74.005043,40.74077,-73.962565,40.772647,1
25894730,2009-06-26 08:22:21.0000001,5.3,2009-06-26 08:22:21 UTC,-73.976124,40.790844,-73.965316,40.803349,3
17610152,2014-08-28 17:47:00.000000188,16.0,2014-08-28 17:47:00 UTC,-73.925023,40.744085,-73.97308199999999,40.761247,5
44470845,2011-02-12 02:27:09.0000006,4.9,2011-02-12 02:27:09 UTC,-73.96901899999999,40.75591,-73.96901899999999,40.75591,1
48725865,2014-10-12 07:04:00.0000002,24.5,2014-10-12 07:04:00 UTC,-73.96144699999999,40.693965000000006,-73.871195,40.774297,5
44195482,2012-12-11 13:52:00.00000029,2.5,2012-12-11 13:52:00 UTC,0.0,0.0,0.0,0.0,1
15822268,2012-02-17 09:32:00.00000043,9.7,2012-02-17 09:32:00 UTC,-73.975187,40.745767,-74.00272,40.743537,1
50611056,2012-03-29 19:06:00.000000273,12.5,2012-03-29 19:06:00 UTC,-74.001065,40.741787,-73.96304,40.775012,1
2205147,2015-05-22 17:32:27.0000004,6.5,2015-05-22 17:32:27 UTC,-73.9743881225586,40.74695205688477,-73.98858642578125,40.729804992675774,1
6379048,2011-05-23 22:15:00.00000086,8.5,2011-05-23 22:15:00 UTC,0.0,0.0,0.0,0.0,1
31892535,2011-05-17 14:03:00.000000158,3.3,2011-05-17 14:03:00 UTC,-73.966378,40.80444,-73.96589,40.807133,5
13012786,2011-06-25 11:19:00.000000102,10.9,2011-06-25 11:19:00 UTC,-73.953352,40.767382,-73.97251,40.796137,1
48411337,2010-04-06 22:20:27.0000004,6.9,2010-04-06 22:20:27 UTC,-73.97336999999999,40.755193,-73.97826500000001,40.766375,1
46272151,2012-02-21 09:33:00.00000028,9.7,2012-02-21 09:33:00 UTC,-73.990718,40.75192,-73.97305300000001,40.74423,2
11875730,2011-09-01 09:21:40.0000002,4.9,2011-09-01 09:21:40 UTC,-73.988908,40.756982,-73.981246,40.76005,1
1728270,2011-03-19 23:58:27.0000003,10.5,2011-03-19 23:58:27 UTC,-74.00566500000001,40.741138,-73.97783000000001,40.749338,2
49173512,2015-03-25 08:58:35.0000001,12.0,2015-03-25 08:58:35 UTC,-73.96253204345702,40.767189025878906,-73.97445678710938,40.75386047363281,1
33157445,2009-08-08 00:20:00.000000183,4.9,2009-08-08 00:20:00 UTC,-73.992075,40.719633,-73.985323,40.727405,1
55085966,2014-02-18 14:26:00.00000070,10.5,2014-02-18 14:26:00 UTC,-73.98002199999999,40.74599,-74.00343199999999,40.759667,1
9843493,2015-03-03 23:15:03.0000003,5.0,2015-03-03 23:15:03 UTC,-73.98918914794923,40.72914123535156,-73.9872817993164,40.72063446044922,2
47537124,2009-11-26 02:58:00.0000005,4.1,2009-11-26 02:58:00 UTC,-74.010798,40.726085,-74.00976700000001,40.737402,2
25121708,2010-09-04 16:12:00.000000152,7.7,2010-09-04 16:12:00 UTC,-73.9943,40.739512,-73.98807,40.724482,2
37339061,2010-05-12 22:32:00.000000200,12.9,2010-05-12 22:32:00 UTC,-73.972987,40.76404,-74.00782,40.714993,5
49393874,2009-02-12 17:52:18.0000001,9.5,2009-02-12 17:52:18 UTC,-73.986059,40.757159,-73.97613,40.780589,1
38755863,2014-01-21 06:55:00.00000094,5.0,2014-01-21 06:55:00 UTC,-73.957802,40.776372,-73.957422,40.78287,1
41229643,2012-11-21 17:37:19.0000002,12.0,2012-11-21 17:37:19 UTC,-73.993909,40.741551,-73.987874,40.770232,1
46387690,2009-05-06 20:06:23.0000003,4.9,2009-05-06 20:06:23 UTC,-73.97778000000001,40.763656,-73.989486,40.772966,1
45740211,2011-12-24 02:52:00.00000056,7.3,2011-12-24 02:52:00 UTC,-73.971075,40.787833,-73.94495699999999,40.784302,5
31945670,2011-05-21 09:00:00.00000031,25.7,2011-05-21 09:00:00 UTC,-73.944815,40.834367,-73.98933199999999,40.72192,4
11844693,2009-02-28 15:54:57.0000002,7.7,2009-02-28 15:54:57 UTC,-74.004184,40.712975,-73.988385,40.725102,1
33836728,2013-02-11 19:09:00.000000252,10.5,2013-02-11 19:09:00 UTC,-73.982085,40.771387,-73.95961,40.769445000000005,1
17967628,2013-09-10 20:50:25.0000001,11.0,2013-09-10 20:50:25 UTC,-73.991186,40.741393,-74.00971,40.716455,2
19277743,2014-06-04 06:49:00.000000102,39.5,2014-06-04 06:49:00 UTC,-73.78808000000001,40.642187,-73.865042,40.725997,4
45314451,2009-06-05 05:35:00.00000011,8.1,2009-06-05 05:35:00 UTC,-73.98869,40.751273,-73.95881,40.764643,3
18779733,2011-02-19 16:31:00.000000126,5.7,2011-02-19 16:31:00 UTC,-74.010863,40.710813,-74.001205,40.718745,1
28150703,2011-08-31 19:47:00.000000254,6.9,2011-08-31 19:47:00 UTC,-73.96869699999999,40.754998,-73.987302,40.73594,1
14631620,2010-05-18 21:28:00.000000232,7.7,2010-05-18 21:28:00 UTC,-73.96837,40.759005,-73.979105,40.77757,3
38703737,2014-02-13 17:57:00.000000102,29.0,2014-02-13 17:57:00 UTC,-73.9926,40.753172,-73.908508,40.816192,1
51671648,2010-04-01 14:42:00.000000160,15.7,2010-04-01 14:42:00 UTC,-73.97336,40.786952,-73.97281,40.743548,1
16649523,2014-04-02 14:58:32.0000002,9.0,2014-04-02 14:58:32 UTC,-73.970164,40.765016,-73.962801,40.77478,1
5218851,2011-02-01 15:25:03.0000002,4.9,2011-02-01 15:25:03 UTC,-73.987139,40.753038,-73.97779399999999,40.751834,1
4147756,2009-01-10 22:43:36.0000007,5.4,2009-01-10 22:43:36 UTC,-73.994222,40.751229,-73.99833100000001,40.744342,1
15145716,2012-07-12 00:59:02.0000002,3.3,2012-07-12 00:59:02 UTC,-73.982371,40.765501,-73.985248,40.762808,1
41369172,2009-02-19 08:28:42.0000001,8.9,2009-02-19 08:28:42 UTC,-73.977137,40.779272,-73.970457,40.757972,1
37192633,2014-01-16 14:58:09.0000006,17.0,2014-01-16 14:58:09 UTC,-73.9939,40.751714,-73.958575,40.76039,1
21695280,2015-01-04 09:17:47.0000001,12.0,2015-01-04 09:17:47 UTC,-73.97952270507811,40.72731018066406,-73.98487854003906,40.760650634765625,1
22405517,2013-01-03 22:24:41.0000002,56.8,2013-01-03 22:24:41 UTC,-73.993498,40.764686,-73.993498,40.764686,1
54858310,2013-05-23 10:57:00.000000198,13.5,2013-05-23 10:57:00 UTC,-73.96204300000001,40.805372,-73.988447,40.770140000000005,1
33899076,2009-10-03 18:25:00.000000186,7.7,2009-10-03 18:25:00 UTC,-73.983052,40.776055,-73.97409300000001,40.763797,1
29966903,2011-08-15 13:55:53.0000001,13.3,2011-08-15 13:55:53 UTC,-73.9859,40.7277,-73.9825,40.7719,1
26382712,2012-05-25 03:19:00.00000063,14.9,2012-05-25 03:19:00 UTC,-73.997385,40.720822,-73.955628,40.782252,1
11666085,2012-12-09 02:12:29.0000004,7.5,2012-12-09 02:12:29 UTC,-73.937809,40.850558,-73.94445400000001,40.834959000000005,1
9716818,2009-04-09 11:27:00.000000125,16.9,2009-04-09 11:27:00 UTC,-73.986593,40.759143,-74.001767,40.72012,1
38092793,2014-11-13 20:12:25.0000005,11.0,2014-11-13 20:12:25 UTC,-73.958903,40.815239,-73.980862,40.78261,1
1239488,2010-03-05 22:41:05.0000003,6.5,2010-03-05 22:41:05 UTC,-73.990305,40.756175,-74.00367800000001,40.759173,1
23077019,2009-01-09 14:24:24.0000003,6.5,2009-01-09 14:24:24 UTC,-73.968111,40.765625,-73.980863,40.75916,1
6922345,2009-07-10 01:01:00.00000094,5.3,2009-07-10 01:01:00 UTC,-73.98973000000001,40.734507,-74.001847,40.740387,1
6479703,2009-02-02 16:58:00.00000011,4.1,2009-02-02 16:58:00 UTC,-73.954332,40.77406,-73.952558,40.766325,2
48399259,2015-06-17 17:52:03.0000007,9.0,2015-06-17 17:52:03 UTC,-73.97213745117188,40.7498893737793,-73.98185729980467,40.73242568969727,1
14960347,2011-10-30 11:34:39.0000003,17.3,2011-10-30 11:34:39 UTC,-73.975307,40.757499,-74.010737,40.711715000000005,3
1347588,2011-06-22 06:20:00.00000037,6.5,2011-06-22 06:20:00 UTC,-73.997925,40.749805,-74.003443,40.754337,2
22364180,2013-10-19 20:21:00.00000083,20.0,2013-10-19 20:21:00 UTC,-73.977453,40.785215,-73.98595,40.734955,1
44856422,2014-08-22 14:58:01.0000001,13.0,2014-08-22 14:58:01 UTC,-73.993619,40.749808,-73.992512,40.756546,2
21993993,2014-05-05 19:27:00.00000034,6.0,2014-05-05 19:27:00 UTC,0.0,0.0,0.0,0.0,1
3045866,2013-01-02 19:16:00.00000087,5.5,2013-01-02 19:16:00 UTC,-73.968242,40.762112,-73.979687,40.765432,1
23460451,2012-12-22 15:35:00.000000148,15.5,2012-12-22 15:35:00 UTC,-73.98994499999999,40.733990000000006,-73.95831,40.780797,1
53705359,2015-02-16 11:19:55.0000003,8.5,2015-02-16 11:19:55 UTC,-73.99765014648438,40.73622131347656,-73.9818115234375,40.76134872436523,2
45517946,2013-02-01 20:56:22.0000007,7.5,2013-02-01 20:56:22 UTC,-73.99793299999999,40.756223,-73.98152900000001,40.742386,1
9514003,2009-05-20 10:23:00.000000116,6.9,2009-05-20 10:23:00 UTC,-73.94945799999999,40.773348,-73.964993,40.76659,5
53475676,2015-05-17 14:56:39.0000002,21.0,2015-05-17 14:56:39 UTC,-73.95431518554686,40.76970291137695,-73.9901351928711,40.75743865966797,1
28370429,2012-06-28 20:10:44.0000002,4.1,2012-06-28 20:10:44 UTC,-73.99455400000001,40.721011,-73.989079,40.722964000000005,2
48832443,2011-12-10 01:43:00.00000045,5.7,2011-12-10 01:43:00 UTC,-73.99096800000001,40.72757,-73.99136999999999,40.74472,1
11835345,2009-03-11 09:31:02.0000002,19.3,2009-03-11 09:31:02 UTC,-74.013173,40.704148,-73.984285,40.754962,1
41669619,2010-12-11 04:25:12.0000002,17.3,2010-12-11 04:25:12 UTC,-73.995721,40.767201,-73.951222,40.723918,4
50958489,2014-04-15 09:19:00.000000199,12.0,2014-04-15 09:19:00 UTC,-74.010142,40.719717,-74.013625,40.702315000000006,1
39891441,2012-04-05 20:21:06.0000007,11.3,2012-04-05 20:21:06 UTC,-73.98149599999999,40.768334,-73.95610400000001,40.804763,1
21255889,2010-04-25 20:11:00.00000099,9.7,2010-04-25 20:11:00 UTC,-73.94984000000001,40.796042,-73.962738,40.759112,3
45550385,2012-05-02 19:12:40.0000001,4.9,2012-05-02 19:12:40 UTC,-73.98698900000001,40.7208,-73.976607,40.722857,1
29152955,2015-05-28 13:31:03.0000006,11.0,2015-05-28 13:31:03 UTC,-73.96671295166014,40.80403518676758,-73.93840026855469,40.79726791381836,1
26348645,2015-05-21 01:35:16.0000006,3.5,2015-05-21 01:35:16 UTC,-73.97534942626955,40.75249099731445,-73.97386169433594,40.7488899230957,2
781560,2012-06-24 01:35:45.0000006,26.1,2012-06-24 01:35:45 UTC,-73.97613199999999,40.744211,-73.90495,40.876687,2
9404760,2010-10-16 21:23:00.000000225,8.1,2010-10-16 21:23:00 UTC,-73.982543,40.731653,-73.954875,40.768787,5
25485719,2009-08-07 10:43:07.0000001,49.57,2009-08-07 10:43:07 UTC,-73.97505799999999,40.78882,-73.97505799999999,40.78882,1
11536406,2010-09-08 10:16:01.0000003,7.7,2010-09-08 10:16:01 UTC,-73.987383,40.721255,-73.95473299999999,40.730683,1
19137375,2012-04-05 18:10:00.0000007,5.3,2012-04-05 18:10:00 UTC,-73.971503,40.760135,-73.961437,40.768975,1
11267091,2010-09-22 12:15:00.000000169,4.5,2010-09-22 12:15:00 UTC,-73.98192,40.761172,-74.016152,40.704765,1
30869427,2010-01-23 03:24:00.00000058,7.3,2010-01-23 03:24:00 UTC,-74.008325,40.725947,-73.988232,40.720322,1
226870,2013-02-15 18:49:00.00000038,6.5,2013-02-15 18:49:00 UTC,-73.99260500000001,40.733957,-73.980698,40.742135,1
46728985,2012-08-12 18:48:00.00000065,5.3,2012-08-12 18:48:00 UTC,-73.986465,40.755052,-73.996115,40.744817,3
10442368,2010-03-12 12:07:38.0000002,9.3,2010-03-12 12:07:38 UTC,-73.95770999999999,40.765555,-73.97005899999999,40.762758000000005,1
1454546,2011-12-02 14:07:00.000000207,6.1,2011-12-02 14:07:00 UTC,0.0,0.0,0.0,0.0,1
51116974,2009-04-14 11:49:40.0000004,3.7,2009-04-14 11:49:40 UTC,-73.97645899999999,40.744077,-73.983699,40.734203,1
46652271,2014-04-27 13:02:13.0000004,4.0,2014-04-27 13:02:13 UTC,-73.950582,40.786452,-73.9575,40.776686,1
25431833,2015-04-11 08:47:47.0000001,9.5,2015-04-11 08:47:47 UTC,-73.97843170166014,40.75239944458008,-74.00042724609375,40.74211883544922,1
44792012,2011-10-03 20:29:00.000000179,4.5,2011-10-03 20:29:00 UTC,-73.990055,40.756413,-73.983047,40.756727000000005,3
18571020,2010-04-26 03:12:44.0000001,3.3,2010-04-26 03:12:44 UTC,-73.982326,40.731314000000005,-73.989649,40.734398,1
37942404,2011-11-18 09:51:00.000000166,30.9,2011-11-18 09:51:00 UTC,-73.995888,40.759078,-73.86500500000001,40.770452,1
29024472,2009-08-30 14:03:55.0000002,26.9,2009-08-30 14:03:55 UTC,-73.990137,40.756007,-73.929361,40.774553,1
